,player,index,minutes,total_mins
175,player8,8,19.8,257.0
176,player1,1,42.5,243.2
177,player2,2,37.9,243.2
178,player3,3,31.6,243.2
179,player4,4,30.0,243.2
180,player5,5,29.7,243.2
181,player6,6,27.2,243.2
182,player7,7,24.1,243.2
183,player8,8,20.2,243.2
184,player1,1,42.5,254.0
185,player2,2,36.5,254.0
186,player3,3,36.2,254.0
187,player4,4,31.8,254.0
188,player5,5,28.2,254.0
189,player6,6,27.2,254.0
190,player7,7,26.8,254.0
191,player8,8,24.8,254.0
192,player1,1,42.3,234.5
193,player2,2,35.4,234.5
194,player3,3,32.8,234.5
195,player4,4,32.5,234.5
196,player5,5,24.8,234.5
197,player6,6,24.4,234.5
198,player7,7,23.6,234.5
199,player8,8,18.7,234.5
200,player1,1,43.1,236.70000000000002
201,player2,2,38.6,236.70000000000002
202,player3,3,37.6,236.70000000000002
203,player4,4,31.3,236.70000000000002
204,player5,5,26.7,236.70000000000002
205,player6,6,25.1,236.70000000000002
206,player7,7,19.0,236.70000000000002
207,player8,8,15.3,236.70000000000002
208,player1,1,40.3,227.5
209,player2,2,37.1,227.5
210,player3,3,30.9,227.5
211,player4,4,30.9,227.5
212,player5,5,24.9,227.5
213,player6,6,23.1,227.5
214,player7,7,22.9,227.5
215,player8,8,17.4,227.5
216,player1,1,39.5,218.39999999999998
217,player2,2,36.8,218.39999999999998
218,player3,3,33.2,218.39999999999998
219,player4,4,26.6,218.39999999999998
220,player5,5,23.3,218.39999999999998
221,player6,6,23.2,218.39999999999998
222,player7,7,21.0,218.39999999999998
223,player8,8,14.8,218.39999999999998
224,player1,1,39.9,229.39999999999998
225,player2,2,36.3,229.39999999999998
226,player3,3,34.4,229.39999999999998
227,player4,4,31.7,229.39999999999998
228,player5,5,24.8,229.39999999999998
229,player6,6,23.7,229.39999999999998
230,player7,7,22.6,229.39999999999998
231,player8,8,16.0,229.39999999999998
232,player1,1,38.9,233.3
233,player2,2,32.0,233.3
234,player3,3,30.9,233.3
235,player4,4,30.2,233.3
236,player5,5,29.9,233.3
237,player6,6,25.9,233.3
238,player7,7,24.2,233.3
239,player8,8,21.3,233.3
240,player1,1,36.9,228.4
241,player2,2,35.4,228.4
242,player3,3,34.7,228.4
243,player4,4,27.9,228.4
244,player5,5,26.0,228.4
245,player6,6,23.3,228.4
246,player7,7,23.0,228.4
